environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,policy_loss,value_loss,entropy,approx_kl
24576,184.72048497200012,133.04425875447535,-21.0,0.0,-0.05067850276827812,0.04993678629398346,1.7552263736724854,0.013681679032742977
49152,367.89692211151123,133.6026398855498,-21.0,0.0,-0.10860320180654526,0.050946980714797974,1.6967086791992188,0.008112948387861252
73728,550.0741028785706,134.03285021829484,-21.0,0.0,0.10341458767652512,0.023195499554276466,1.7508224248886108,0.00901983305811882
98304,732.2257359027863,134.253680322543,-21.0,0.0,0.021718330681324005,0.05119113624095917,1.7382698059082031,0.012184441089630127
122880,915.6934089660645,134.19338699686952,-21.0,0.0,0.011476904153823853,0.016221558675169945,1.5860340595245361,0.0021522552706301212
147456,1097.1251740455627,134.4021662142098,-21.0,0.0,-0.15563614666461945,0.05705590546131134,1.310206651687622,0.005786905065178871
172032,1278.532958984375,134.55421605753682,-21.0,0.0,0.21611694991588593,0.031056150794029236,1.5570383071899414,0.003478097263723612
196608,1462.8100168704987,134.40432983941696,-21.0,0.0,-0.12295053899288177,0.03104914352297783,1.4958901405334473,0.005176699720323086
221184,1686.1484060287476,131.17706555901924,-20.6,0.7571877794400367,0.02001294307410717,0.03982911258935928,1.3918542861938477,0.004691116511821747
245760,1919.3724238872528,128.04185208733014,-20.066666666666666,0.5120763831912405,-0.06945720314979553,0.026455655694007874,1.3132712841033936,0.012677477672696114
270336,2167.875505924225,124.70088769448209,-20.233333333333334,1.0857664983268218,-0.0833275318145752,0.03718176484107971,1.3635700941085815,0.01011885330080986
294912,2425.640030860901,121.58110694405433,-19.733333333333334,1.3888444437333103,-0.09716828167438507,0.02610391564667225,1.2213164567947388,0.008710158057510853
319488,2702.5740609169006,118.21618679026665,-18.033333333333335,1.9913702708325127,-0.03163747489452362,0.026221226900815964,1.2829444408416748,0.01374034769833088
344064,2999.3674988746643,114.71218519537035,-11.2,5.430776494511013,0.06706184148788452,0.021574199199676514,1.2650337219238281,0.011947080492973328
368640,3299.590635061264,111.72295013894767,-2.7666666666666666,8.357365347737021,-0.06869068741798401,0.01710355654358864,1.2004142999649048,0.01534225046634674
393216,3601.060277938843,109.1945065204401,8.766666666666667,7.064858259174223,-0.031339116394519806,0.021450329571962357,1.207764983177185,0.01459796354174614
417792,3928.3081130981445,106.35418299567205,6.033333333333333,5.534638400313269,-0.11546485871076584,0.021761590614914894,1.2015575170516968,0.019551333039999008
442368,4216.792486906052,104.9062768380309,11.866666666666667,5.80650975677778,-0.13361293077468872,0.013192443177103996,1.054855465888977,0.013062523677945137
466944,4512.252002954483,103.48358196620136,7.6,7.578918128598566,0.06002312898635864,0.02069959044456482,1.0093516111373901,0.016377197578549385
491520,4805.9973821640015,102.27221549284941,7.733333333333333,6.345251943163663,-0.0861947238445282,0.015604807063937187,0.9999481439590454,0.012619511224329472
516096,5106.307280063629,101.07029829851287,6.8,6.579766966491544,-0.075832799077034,0.02407212182879448,0.9310636520385742,0.020551232621073723
540672,5426.106514930725,99.64271774192703,2.8,7.147960081962779,-0.018334582448005676,0.01973249390721321,0.9457066059112549,0.015151794999837875
565248,5709.829297065735,98.99560399999704,10.566666666666666,4.688164767677101,-0.2314416468143463,0.01659679040312767,0.9757785797119141,0.020880306139588356
589824,5977.36270904541,98.67629399623578,12.533333333333333,4.177186719418811,-0.09380218386650085,0.03496558964252472,0.9395157098770142,0.023731090128421783
614400,6241.903060913086,98.43151902717206,13.633333333333333,4.757333520179368,-0.09658195078372955,0.019678685814142227,0.8396719694137573,0.02857605367898941
638976,6506.624609947205,98.20391344277759,13.966666666666667,3.4300955607031645,-0.058164410293102264,0.022317729890346527,0.9088994264602661,0.022215696051716805
663552,6779.190759897232,97.88070927755022,14.133333333333333,3.565887765417688,-0.18421584367752075,0.016224732622504234,1.0240790843963623,0.021920502185821533
688128,7060.005840063095,97.4684746144279,12.633333333333333,4.813060934120361,-0.08653202652931213,0.0221091341227293,1.058262586593628,0.023015307262539864
712704,7324.1855227947235,97.308294250847,14.633333333333333,2.8691849404007095,0.00821445882320404,0.018110044300556183,0.9943776726722717,0.021086174994707108
737280,7591.479678869247,97.11940638557053,14.533333333333333,4.006106450019631,0.09205867350101471,0.01940222829580307,1.020522117614746,0.02006334438920021
761856,7872.362128019333,96.77603591027695,11.4,5.40740233383831,0.06890308111906052,0.014895008876919746,1.0740445852279663,0.026660673320293427
786432,8128.280198812485,96.75257013344574,14.466666666666667,3.989430480100581,-0.025577709078788757,0.02149725705385208,1.016530990600586,0.021229393780231476
811008,8382.914119958878,96.74535470534936,14.8,3.581433604950211,-0.003191757947206497,0.015161965042352676,0.9179932475090027,0.030767690390348434
835584,8647.158338069916,96.63105117770456,12.1,4.812137432229743,0.06477482616901398,0.015359935350716114,0.9792361259460449,0.0236948411911726
860160,8899.776827096939,96.64961455898474,14.733333333333333,3.5770875800790165,-0.13618557155132294,0.007735429331660271,1.071184515953064,0.01884608156979084
884736,9169.518822908401,96.48663326777105,10.2,5.522076903967685,0.16581912338733673,0.01638069748878479,0.9542905688285828,0.016749272122979164
909312,9432.99842786789,96.39692055004747,13.566666666666666,4.6524784314981575,-0.005866449326276779,0.02476782165467739,0.9929792881011963,0.021233638748526573
933888,9698.35749912262,96.29341876543421,13.533333333333333,3.1276544281973067,-0.05839158594608307,0.01573983021080494,1.077156901359558,0.023556452244520187
958464,9966.282100915909,96.17066728542835,12.8,4.4,-0.2856371998786926,0.02986747771501541,1.088505506515503,0.022423315793275833
