environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,policy_loss,value_loss,entropy,approx_kl
24576,180.77757811546326,135.94606286940785,-21.0,0.0,-0.017920512706041336,0.03047253005206585,1.7651147842407227,0.007009455468505621
49152,357.9228050708771,137.32570069160425,-21.0,0.0,0.09167647361755371,0.02699035406112671,1.7439641952514648,0.012619942426681519
73728,534.52756690979,137.93114623834703,-21.0,0.0,0.2417410910129547,0.018538085743784904,1.7643561363220215,0.01052557211369276
98304,710.8687589168549,138.2871291428897,-21.0,0.0,0.025367312133312225,0.05076939985156059,1.7789772748947144,0.004822199232876301
122880,888.1777448654175,138.35068567100973,-21.0,0.0,-0.04962516576051712,0.02910900115966797,1.7267316579818726,0.013589533977210522
147456,1077.8429188728333,136.80657674502982,-20.966666666666665,0.17950549357115012,0.13017289340496063,0.06035733222961426,1.732392430305481,0.005908342078328133
172032,1294.2427580356598,132.9209678259812,-20.733333333333334,0.5120763831912405,0.007248269394040108,0.03995613753795624,1.6488782167434692,0.006083982530981302
196608,1504.7501120567322,130.65823914851904,-18.9,1.3747727084867518,0.04710621014237404,0.04032737761735916,1.5524872541427612,0.009873447939753532
221184,1746.9056510925293,126.61473724213043,-20.333333333333332,0.7888106377466155,-0.012616375461220741,0.02288016490638256,1.4494142532348633,0.009582294151186943
245760,1995.4698929786682,123.15896163836737,-19.633333333333333,1.4715826703096078,-0.09839533269405365,0.020282361656427383,1.4077730178833008,0.01120985671877861
270336,2249.1900448799133,120.1926002719407,-18.266666666666666,1.3888444437333103,-0.06517516076564789,0.02432371862232685,1.2966716289520264,0.011742801405489445
294912,2533.8742628097534,116.38777990225239,-15.133333333333333,2.1092389359408497,0.0354294516146183,0.021875645965337753,1.2044904232025146,0.013995801098644733
319488,2822.4506628513336,113.19524697809602,-16.8,2.1354156504062622,0.024511083960533142,0.01886286959052086,1.1172881126403809,0.015126490965485573
344064,3136.674665927887,109.6906873184152,-12.8,2.4953289696283867,-0.07964302599430084,0.020098116248846054,1.149143934249878,0.012992560863494873
368640,3415.1591539382935,107.94226078008217,-11.933333333333334,3.08688984074406,-0.07272930443286896,0.01757149025797844,1.0284160375595093,0.016810623928904533
393216,3678.399348974228,106.89867048641331,-13.833333333333334,2.409472049133493,-0.058678511530160904,0.014346343465149403,1.0164636373519897,0.012940984219312668
