environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
25000,50.19892406463623,498.0186421388621,-21.0,0.0,1.0,,
50000,100.83664011955261,495.85150266156194,-21.0,0.0,1.0,,
75000,227.4564552307129,329.7334414525751,-20.766666666666666,0.4229525846816507,0.9775,0.015084200538694859,0.0162885170429945
100000,349.2239170074463,286.34923076468846,-21.0,0.0,0.955,0.0021445530001074076,-0.02518387697637081
125000,470.4830572605133,265.6843813411117,-21.0,0.0,0.9325,0.0005054925568401814,0.005291263572871685
150000,592.1877460479736,253.29804779107178,-21.0,0.0,0.91,0.002139871474355459,-0.003689612029120326
175000,716.9589161872864,244.08651046616154,-21.0,0.0,0.8875,0.00026627766783349216,-0.006764015182852745
200000,842.6655261516571,237.34209338447297,-21.0,0.0,0.865,6.174043664941564e-05,0.02539064548909664
225000,970.1544229984283,231.92184116871525,-21.0,0.0,0.8425,7.822322368156165e-05,0.011306822299957275
250000,1100.2288970947266,227.22544432338108,-21.0,0.0,0.82,0.00015906000044196844,-0.0825372040271759
275000,1230.896487236023,223.4143998715025,-21.0,0.0,0.7975,0.00029924395494163036,-0.13716408610343933
300000,1363.7389361858368,219.9834528731964,-21.0,0.0,0.775,0.0014895647764205933,-0.04460650309920311
325000,1497.0755760669708,217.0899084778143,-21.0,0.0,0.7525,0.00011830702715087682,-0.05883639678359032
350000,1632.2885420322418,214.42287376717505,-21.0,0.0,0.73,0.00019704931764863431,-0.1649191975593567
375000,1769.1300070285797,211.96859389075414,-20.933333333333334,0.24944382578492943,0.7075,0.006832664832472801,-0.15549443662166595
400000,1910.3936929702759,209.38092575979536,-21.0,0.0,0.685,0.0003000799915753305,-0.12632009387016296
425000,2051.403279066086,207.17525624375367,-20.966666666666665,0.1795054935711501,0.6625,7.502215157728642e-05,-0.0843740701675415
450000,2195.4083199501038,204.97325983078284,-20.933333333333334,0.2494438257849294,0.6399999999999999,0.0002099808625644073,-0.20722942054271698
475000,2338.3957130908966,203.13071784510768,-21.0,0.0,0.6174999999999999,0.00047441120841540396,-0.14213000237941742
500000,2485.2480199337006,201.18716361079223,-20.833333333333332,0.372677996249965,0.595,0.008725099265575409,-0.20351336896419525
525000,2630.4453151226044,199.58597769797404,-20.9,0.3,0.5725,0.00027641147607937455,-0.2479708194732666
550000,2781.0914521217346,197.76408267291873,-20.733333333333334,0.4422166387140533,0.55,0.001799148740246892,-0.26957055926322937
