environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
25000,54.838927268981934,455.8805440690058,-21.0,0.0,1.0,,
50000,108.95181703567505,458.91845918612944,-21.0,0.0,1.0,,
75000,247.39143300056458,303.1632869822363,-21.0,0.0,0.9775,0.00020726429647766054,-0.03297775611281395
100000,387.4329800605774,258.10915731568934,-21.0,0.0,0.955,0.010289521887898445,-0.04351484030485153
125000,528.1860659122467,236.6590261783448,-21.0,0.0,0.9325,0.00010472930443938822,-0.045275282114744186
150000,670.8992400169373,223.58051858277494,-21.0,0.0,0.91,0.0001278894196730107,-0.06379853188991547
175000,815.3957350254059,214.61971467674255,-21.0,0.0,0.8875,0.0027575066778808832,-0.11162813007831573
200000,961.3711380958557,208.03620170657808,-21.0,0.0,0.865,0.0004504801763687283,-0.11962561309337616
225000,1108.5417971611023,202.9693427672337,-21.0,0.0,0.8425,0.00010250031482428312,-0.11487739533185959
250000,1258.6073560714722,198.63224125761798,-21.0,0.0,0.82,0.000538905558642,-0.09874475002288818
275000,1408.5494332313538,195.23631440390926,-21.0,0.0,0.7975,0.0006883467431180179,-0.0889134556055069
300000,1567.9509682655334,191.33251350914347,-20.133333333333333,0.339934634239519,0.775,0.0006894100224599242,-0.16905522346496582
325000,1723.6023139953613,188.55857720824926,-20.366666666666667,0.48189440982669873,0.7525,0.0005681947804987431,-0.16954199969768524
350000,1880.2199501991272,186.14843436947186,-20.4,0.4898979485566357,0.73,0.0027036820538342,-0.20230476558208466
375000,2034.9640719890594,184.27843771869394,-21.0,0.0,0.7075,0.00027160666650161147,-0.18198303878307343
400000,2191.4707181453705,182.52582463813857,-21.0,0.0,0.685,0.0005293983267620206,-0.22382120788097382
425000,2348.669553041458,180.95351015935205,-21.0,0.0,0.6625,0.01568920724093914,-0.12947866320610046
450000,2507.10001206398,179.49024683277642,-21.0,0.0,0.6399999999999999,0.0005967640900053084,-0.12478302419185638
475000,2667.5820319652557,178.06387743955557,-21.0,0.0,0.6174999999999999,0.00485779345035553,-0.22144541144371033
