environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
25000,48.93696880340576,510.8612284492224,-21.0,0.0,1.0,,
50000,99.23725175857544,503.8430540291084,-21.0,0.0,1.0,,
75000,217.69888377189636,344.5125611128078,-21.0,0.0,0.9775,0.014578080736100674,0.025386255234479904
100000,336.9919307231903,296.74301038930395,-21.0,0.0,0.955,0.0011357497423887253,-0.014756477437913418
125000,461.41398882865906,270.90639375432977,-21.0,0.0,0.9325,0.0005291505949571729,0.036398082971572876
150000,587.1625049114227,255.46590380864495,-21.0,0.0,0.91,0.0007483348599635065,0.03385741636157036
175000,715.6531817913055,244.5318548877603,-21.0,0.0,0.8875,0.0007559501100331545,0.013791710138320923
200000,843.2822625637054,237.168512701468,-21.0,0.0,0.865,0.0004288253840059042,-0.03746408224105835
225000,974.0070955753326,231.00447729989543,-21.0,0.0,0.8425,0.0014053134946152568,-0.03255435451865196
250000,1111.977710723877,224.824650340365,-20.7,0.4582575694955841,0.82,0.001330427941866219,-0.047940801829099655
275000,1247.0804386138916,220.51504555918046,-20.066666666666666,0.24944382578492943,0.7975,0.017725326120853424,-0.14172087609767914
300000,1386.327497959137,216.3990835076304,-20.733333333333334,0.4422166387140533,0.775,0.0010968642309308052,-0.0991934984922409
325000,1527.2223496437073,212.80463831735113,-21.0,0.0,0.7525,0.0003088829980697483,0.005524513311684132
350000,1671.3524017333984,209.41125246067782,-20.4,0.5537749241945382,0.73,0.00039261532947421074,-0.04718264192342758
375000,1814.7769405841827,206.6369653301574,-20.3,0.4582575694955841,0.7075,0.00321058533154428,-0.09040063619613647
400000,1955.9120466709137,204.50817340208158,-20.666666666666668,0.4714045207910318,0.685,0.0006582472124136984,-0.08357246220111847
425000,2102.7166090011597,202.11948589766595,-20.033333333333335,0.31446603773522014,0.6625,0.0003553434507921338,-0.0807737484574318
450000,2248.3379199504852,200.1478496656366,-20.733333333333334,0.4422166387140533,0.6399999999999999,0.0003552752605173737,0.01567033864557743
475000,2419.4801836013794,196.3231619829882,-20.166666666666668,0.819891591749923,0.6174999999999999,0.0006982664344832301,0.02079562470316887
500000,2639.911635875702,189.40027879127334,-17.533333333333335,1.80246744461277,0.595,0.00047428192920051515,-0.1394519805908203
525000,2845.895230770111,184.47622178903458,-16.833333333333332,1.9507833184532706,0.5725,0.0005270790425129235,-0.12407463788986206
550000,3047.4075226783752,180.48127659553157,-17.0,2.1291625896895083,0.55,0.011587326414883137,-0.15034347772598267
575000,3291.292738676071,174.7033903253225,-13.6,2.8589042189855425,0.5275,0.004527722951024771,-0.0815005898475647
600000,3525.096160888672,170.20812273347192,-15.066666666666666,2.0805982045769644,0.5049999999999999,0.002249425044283271,-0.18748387694358826
625000,3765.2595677375793,165.99121222746828,-11.933333333333334,2.4212026396446498,0.48250000000000004,0.0006718744407407939,-0.16700473427772522
650000,4022.3194806575775,161.59830245348263,-13.2,2.6507860469428057,0.45999999999999996,0.000459260685602203,-0.20662853121757507
675000,4242.966132879257,159.0868224512723,-16.1,2.586503431275512,0.4375,0.002127039711922407,-0.18423545360565186
700000,4454.003775835037,157.16196824925382,-13.766666666666667,2.5649344804280845,0.4149999999999999,0.0007752570672892034,-0.04514821618795395
725000,4679.6409158706665,154.9264170122668,-11.266666666666667,2.4756592836836186,0.39249999999999996,0.0048216418363153934,-0.0909142941236496
750000,4938.951729774475,151.85408585357746,-13.5,4.341658669218482,0.37,0.0021872203797101974,-0.13137301802635193
775000,5191.861632823944,149.27208288837133,-12.966666666666667,4.18316732738351,0.34750000000000003,0.0015340285608544946,-0.06692199409008026
800000,5455.794303894043,146.63309418187885,-11.633333333333333,3.250470051478026,0.32499999999999996,0.001465435023419559,-0.10052680224180222
825000,5741.364764928818,143.69405773334185,-13.233333333333333,2.871507540570903,0.3025,0.0012185140512883663,-0.13261161744594574
850000,6019.803734779358,141.20061673921228,-13.133333333333333,4.558752265941003,0.2799999999999999,0.003847065381705761,-0.14130739867687225
