environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
25000,55.80040001869202,448.0254620249582,-21.0,0.0,1.0,,
50000,110.06374096870422,454.28221071029697,-21.0,0.0,1.0,,
75000,248.4615650177002,301.8575528748489,-21.0,0.0,0.9775,3.1388448405778036e-05,-0.017040317878127098
100000,388.12983298301697,257.64574506211164,-21.0,0.0,0.955,0.015219303779304028,-0.05281520634889603
125000,526.7808229923248,237.29033887322043,-21.0,0.0,0.9325,0.03141314536333084,-0.045864038169384
150000,667.3917469978333,224.7555508539016,-21.0,0.0,0.91,0.015081573277711868,-0.07290631532669067
175000,809.8856210708618,216.07989504541666,-21.0,0.0,0.8875,0.000272052944637835,-0.090115986764431
200000,958.4427680969238,208.67182335457517,-21.0,0.0,0.865,0.015397515147924423,-0.09024183452129364
225000,1107.5398998260498,203.1529519028031,-21.0,0.0,0.8425,0.01518342550843954,-0.11503969132900238
250000,1257.7313179969788,198.77059306906895,-21.0,0.0,0.82,0.0002222164039267227,-0.11691613495349884
275000,1409.5718998908997,195.0946950780516,-21.0,0.0,0.7975,0.0017134188674390316,-0.1390710324048996
300000,1562.5255439281464,191.99686121329975,-21.0,0.0,0.775,0.0022480469197034836,-0.22439955174922943
325000,1719.2931971549988,189.03116730619587,-21.0,0.0,0.7525,0.00010325145558454096,-0.11994104087352753
350000,1874.4804680347443,186.71840329537426,-21.0,0.0,0.73,0.0007467110408470035,-0.25358280539512634
375000,2031.315062046051,184.60947138650056,-20.966666666666665,0.1795054935711501,0.7075,0.0001896809262689203,-0.11299815773963928
400000,2189.4018170833588,182.69830456826912,-21.0,0.0,0.685,0.0004908943665213883,-0.24840566515922546
425000,2347.3316259384155,181.05664973090992,-21.0,0.0,0.6625,0.0021898390259593725,-0.28427886962890625
450000,2512.2266290187836,179.1239669973755,-21.0,0.0,0.6399999999999999,0.0035194132942706347,-0.2948301434516907
475000,2681.0031180381775,177.17249070094473,-21.0,0.0,0.6174999999999999,0.003309181658551097,-0.25878769159317017
